Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Queen – Innuendo (Original UK),105 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/01/Quenn-inuendo-1-300x300.jpg
Pulp Fiction (Soundtrack) (Sealed),85 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/pulp1-300x300.jpg
Barry White ‎- Satin and Soul (2LP),63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/Barry-White-Satin-and-soul-New-Cover-300x300.jpg
George Benson – Give Me The Night,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/george-benson-300x300.jpg
T. Rex / Marc Bolan – Cosmic Dancer,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/dancer-300x300.jpg
Baba Mirzoev – Baba Mirzoev Sings,70 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/baba-300x300.jpg
Boomerang – Jazz Ensemble Boomerang,91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/bumerangi-300x300.jpg
Electric Light Orchestra – All Over The World / The Very Best Of Electric Light Orchestra (Original CD),21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/elo-300x300.jpg
Slam Stewart & Major Holley – Shut Yo’ Mouth (Sealed),42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/stf-300x300.jpeg
"ლალი მიქავა – მაჭავარიანი, გორდელი, ფალიაშვილი, თაქთაქიშვილი",84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/ლალი-300x300.jpeg
ვია 75 – ფეხზე დაგიდგები ჩემო საქართველო,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/ჩემო-საქართველო-300x300.jpg
გიორგი ცაბაძე – გიორგი ცაბაძის სიმღერები,66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/R-5129782-1417688425-7101-300x300.jpg
რომან გორელაშვილი  – ქართული საფორტეპიანო მუსიკა,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/07/ქართული-საფორტეპიანო-მუსიკა-300x300.jpg
Elton John – Sleeping With The Past,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/elton-sleeps-300x300.jpg
George Benson ‎– The Love Songs,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/07/George-Benson-The-love-songs-5-300x300.jpg
George Benson ‎– 20/20,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/07/George-Benson-20-20-5-300x300.jpg
ABBA – Super Trouper (Happy New Year),49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/09/ABBa-300x300.jpg
Rammstein – Untitled (Sealed),130 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/07/rammstein-1-300x300.jpg
Pink Floyd – Delicate Sound Of Thunder (USSR),66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/pink-floyd-300x300.jpg
"Pink Floyd – Animals (2018 Remix, Sealed)",87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/pink1-300x300.webp
Michael Jackson – Thriller (Sealed),90 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/thriller-1-300x300.jpg
Red Hot Chili Peppers – Blood Sugar Sex Magik (Sealed),98 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/12/red-hot-chili-peppers-300x300.jpg
The Doors – The Doors (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/the-doors-1-300x300.jpg
Michael Jackson – Dangerous (Sealed),90 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/dangerous2-300x300.webp
Alexander Zonjic – Seldom Blues (CD),21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/seldom-blues.jpg
"The Soundtrack of Tbilisi (Bedford Falls, Mokumoku, DRO, Kords, etc)",50 GEL,No,https://vinyl.ge/wp-content/uploads/2023/08/tbilisi-300x300.jpg
ირაკლი აბაშიძე – პოეზია,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/abashidze1-copy-300x300.jpg
